,DA_LMP,DA_MCC,DA_MLC,RT_LMP,RT_MCC,RT_MLC,LMP_DELTA,MCC_DELTA,MLC_DELTA,LF_Planned,LF_Actual,Outage
2014-01-01 00:00:00,28.58,-3.04,-0.18,23.52,-3.52,-0.14,-5.06,-0.48,0.04,17885,17940,0
2014-01-01 01:00:00,27.19,-2.41,-0.5,24.23,-3.14,-0.3,-2.96,-0.73,0.2,17377,17338,0
2014-01-01 02:00:00,26.49,-1.77,-0.46,23.44,-2.33,-0.34,-3.05,-0.56,0.12,16966,16919,0
2014-01-01 03:00:00,26.31,-1.72,-0.47,22.77,-1.82,-0.37,-3.54,-0.1,0.1,16731,16643,0
2014-01-01 04:00:00,25.79,-2.1,-0.46,22.42,-1.48,-0.25,-3.37,0.62,0.21,16602,16503,0
2014-01-01 05:00:00,26.11,-2.23,-0.14,21.98,-1.5,-0.18,-4.13,0.73,-0.04,16586,16523,0
2014-01-01 06:00:00,28.4,-1.9,-0.34,23.94,-1.06,-0.23,-4.46,0.84,0.11,16777,16746,0
2014-01-01 07:00:00,29.75,-2.63,-0.02,23.48,-2.06,-0.3,-6.27,0.57,-0.28,17557,17101,0
2014-01-01 08:00:00,30.48,-3.61,-0.15,22.8,-1.49,-0.22,-7.68,2.12,-0.07,18184,17343,0
2014-01-01 09:00:00,31.71,-4.1,-0.17,24.1,-1.59,-0.23,-7.61,2.51,-0.06,18382,17569,0
2014-01-01 10:00:00,33.74,-3.29,-0.09,26.03,-2.15,-0.29,-7.71,1.14,-0.2,18568,18128,0
2014-01-01 11:00:00,34.25,-3.19,1.08,26.07,-1.05,-0.13,-8.18,2.14,-1.21,18678,18430,0
2014-01-01 12:00:00,33.27,-2.74,1.03,24.58,-0.85,0.09,-8.69,1.89,-0.94,18721,18564,0
2014-01-01 13:00:00,32.56,-2.2,0.9,24.7,-0.66,0.05,-7.86,1.54,-0.85,18644,18502,0
2014-01-01 14:00:00,31.79,-1.37,1.07,24.33,-0.39,0.02,-7.46,0.98,-1.05,18558,18297,0
2014-01-01 15:00:00,30.15,-1.28,0.44,23.6,-0.28,0.04,-6.55,1.0,-0.4,18449,18118,0
2014-01-01 16:00:00,31.69,-0.61,0.95,23.8,-0.15,0.18,-7.89,0.46,-0.77,18478,18182,0
2014-01-01 17:00:00,42.24,0.3,1.56,24.71,-4.84,0.31,-17.53,-5.14,-1.25,19080,18888,0
2014-01-01 18:00:00,57.02,6.65,1.51,20.27,-21.98,0.98,-36.75,-28.63,-0.53,20272,20264,0
2014-01-01 19:00:00,53.46,7.42,1.4,31.1,-8.86,0.87,-22.36,-16.28,-0.53,20349,20244,0
2014-01-01 20:00:00,49.45,4.23,1.04,27.79,-2.61,0.36,-21.66,-6.84,-0.68,20118,19924,0
2014-01-01 21:00:00,44.49,1.93,1.81,26.93,-2.94,0.08,-17.56,-4.87,-1.73,19715,19530,0
2014-01-01 22:00:00,33.2,-2.01,0.37,26.39,-2.37,0.11,-6.81,-0.36,-0.26,19191,18953,0
2014-01-01 23:00:00,31.71,-2.25,1.03,25.68,-1.52,-0.11,-6.03,0.73,-1.14,18315,18043,0
2014-01-02 00:00:00,28.96,-1.86,0.67,23.54,-8.68,-0.28,-5.42,-6.82,-0.95,17679,17544,0
2014-01-02 01:00:00,28.29,-1.88,0.63,23.48,-2.29,-0.28,-4.81,-0.41,-0.91,17144,17087,0
2014-01-02 02:00:00,27.72,-0.98,0.6,22.95,-2.16,-0.28,-4.77,-1.18,-0.88,16786,16856,0
2014-01-02 03:00:00,27.75,-1.08,0.61,23.42,-1.98,-0.29,-4.33,-0.9,-0.9,16656,16766,0
2014-01-02 04:00:00,28.56,-0.97,0.64,24.04,-1.76,-0.36,-4.52,-0.79,-1.0,16682,16849,0
2014-01-02 05:00:00,29.48,-1.57,0.74,25.01,-1.53,-0.37,-4.47,0.04,-1.11,16950,17217,0
2014-01-02 06:00:00,37.13,-0.39,0.32,26.54,-2.84,-0.14,-10.59,-2.45,-0.46,17703,18129,0
2014-01-02 07:00:00,43.25,-0.64,0.62,23.29,-11.54,0.22,-19.96,-10.9,-0.4,18978,19567,0
2014-01-02 08:00:00,48.42,-0.35,1.19,31.2,-21.96,0.97,-17.22,-21.61,-0.22,19772,20549,0
2014-01-02 09:00:00,48.65,0.16,1.18,27.11,-17.27,0.9,-21.54,-17.43,-0.28,19879,20508,0
2014-01-02 10:00:00,47.72,0.04,0.03,36.13,-15.61,0.98,-11.59,-15.65,0.95,19923,20461,0
2014-01-02 11:00:00,47.5,0.93,0.09,42.34,-5.45,0.77,-5.16,-6.38,0.68,19916,20314,0
2014-01-02 12:00:00,47.87,5.02,0.01,36.62,-1.0,0.53,-11.25,-6.02,0.52,19725,20265,0
2014-01-02 13:00:00,41.88,0.94,0.0,33.53,-1.26,0.53,-8.35,-2.2,0.53,19520,20005,0
2014-01-02 14:00:00,38.9,0.76,0.01,31.63,-0.55,0.58,-7.27,-1.31,0.57,19345,19959,0
2014-01-02 15:00:00,39.88,0.25,1.74,31.0,-0.34,0.47,-8.88,-0.59,-1.27,19144,19906,0
2014-01-02 16:00:00,37.64,-0.25,0.01,30.05,-0.22,0.44,-7.59,0.03,0.43,19006,19804,0
2014-01-02 17:00:00,49.43,1.01,0.39,33.79,-0.02,0.71,-15.64,-1.03,0.32,19532,20119,0
2014-01-02 18:00:00,65.88,1.91,0.98,119.44,6.88,3.25,53.56,4.97,2.27,20674,21501,0
2014-01-02 19:00:00,60.51,1.77,0.19,87.38,-0.53,2.34,26.87,-2.3,2.15,20771,21510,0
2014-01-02 20:00:00,54.01,1.31,-0.03,41.38,-0.28,0.93,-12.63,-1.59,0.96,20633,21247,0
2014-01-02 21:00:00,49.17,0.34,0.46,38.89,0.06,0.94,-10.28,-0.28,0.48,20292,20978,0
2014-01-02 22:00:00,44.2,-0.18,1.26,37.87,0.07,0.88,-6.33,0.25,-0.38,19742,20552,0
2014-01-02 23:00:00,39.11,-0.52,0.65,34.83,0.02,0.52,-4.28,0.54,-0.13,18874,19563,0
2014-01-03 00:00:00,33.83,-0.72,0.11,38.81,3.17,0.22,4.98,3.89,0.11,18512,18890,0
2014-01-03 01:00:00,31.7,-1.45,0.46,30.34,0.31,0.05,-1.36,1.76,-0.41,17967,18306,0
2014-01-03 02:00:00,29.61,-2.36,0.24,32.0,2.59,0.06,2.39,4.95,-0.18,17594,17870,0
2014-01-03 03:00:00,28.48,-3.25,0.43,32.25,2.2,0.09,3.77,5.45,-0.34,17442,17645,0
2014-01-03 04:00:00,29.45,-3.24,0.45,33.47,2.5,0.14,4.02,5.74,-0.31,17446,17639,0
2014-01-03 05:00:00,30.99,-3.66,-0.05,33.32,2.47,0.06,2.33,6.13,0.11,17744,17766,0
2014-01-03 06:00:00,41.15,-0.63,-0.11,38.66,3.56,0.07,-2.49,4.19,0.18,18638,18545,0
2014-01-03 07:00:00,52.28,3.14,0.07,58.08,3.62,0.7,5.8,0.48,0.63,20225,19898,0
2014-01-03 08:00:00,57.28,4.11,1.33,63.51,3.74,1.02,6.23,-0.37,-0.31,21114,20858,0
2014-01-03 09:00:00,52.83,3.89,1.21,59.24,3.74,0.88,6.41,-0.15,-0.33,20891,20780,0
2014-01-03 10:00:00,45.42,1.67,0.78,47.67,1.59,0.97,2.25,-0.08,0.19,20675,20835,0
